WORD,DEFINITION
A,Artery
A2,Aortic Component of the Second Heart Sound(S2)
AA,1) Aortic Arch(= Arcus Aortae)(= AA); 대동맥궁\n  2) Aplastic Anemia - Anemia\n  3) Amino-Acid\n  4) Alcoholic Anonymous\n  5) Amyloid A protein
a.a.,ana; of each; 각각
AAMD,American Association on Mental Deficiency; 미국 정신 박약 협회
AAMD-ABS,American Association on Mental Deficiency-Adaptive Behavior Scale; 미국 정신 박약 협회 적응 행동 척도
AAT,Alpha(α)-Anti-Trypsin
"AB, Ab",1) Anti-body; 항체\n  2) Anti-Biotics; 항생제
ABA,Amino-Butyric Acid
Abd.,Abdomen; 복부
ABE,Acute Bacterial Endocarditis
ABGA,Arterial Blood Gas Analysis
abl,Abelson
ABO,Three Main Blood Types
ABPA,Allergic Broncho-Pulmonary Aspergillosis
ABR,Absolute Bed Rest
ABS,Adaptive Behavior Scale
ABVD,"Adriamycin, Bleomycin, Vinblastin, Dacarbazine"
AC,1) Adenylate Cyclase\n  2) Abdominal Circumference\n  3) Air Conduction
Ac,Acute; 급성
a.c.,ante cibum; before meals; 식전
ACA,Anterior Cerebral Artery
Accom.,Accommodation; 순응
ACD,1) Absolute Cardiac Dullness; 절대심둔탁음\n  2) Anemia of Chronic Disease\n  3) Acid Citrate Dextrose\n  4) Allergic Contact Dermatitis\n  5) Autosomal Co-Dominant
Acid.,Acidosis
ACE,Angiotensin Converting Enzyme\n  = Kininase II\n  = Dipeptidyl Carboxypeptidase
ACGIH,American Conference of Governmental Industrial Hygienist; 미국 산업 위생사 협회
ACh,Acetyl-Choline
AChE,Acetyl-Cholin-Esterase
AChRs,Acetylcholine Receptors
A-COM,Anterior COMmunicating artery
ACP,ACid Phosphatase
ACTH,Adreno-Cortico-Tropic(=Tropin)(or steroid) Hormone
AD,1) Alveolar Duct\n  2) Autosomal Dominant\n  3) Auris Dextra; Right Ear; 오른쪽 귀
ADA,Adenosine De-Aminase
ADC,AIDS Dementia Complex; AIDS 치매 복합
ADCC cell,Antibody Dependent Cellular(= Cell-Mediated) Cytotoxicity cell
ADD,1) Attention Deficit Disorder\n    = Hyperkinetic Syndrome\n  2) Androstenediene
ADH,1) Aldehyde De-Hydrogenase\n    = ALDH\n  2) Anti-Diuretic Hormone\n    = Vasopressin
ADHD,Attention Deficit Hyperactivity Disorder; 주의력 부족 행동 과다 장애
ADI,Acute Drug Intoxication
ad lib,ad libitum; at pleasure; 원하는 대로
ADP,Adenosine Di-Phosphate
ADS,Alcohol Dependence Syndrome
ADSA,Arterial Digital Subtraction Angiography
AE,Above the Elbow
AEF,Amyloid Enhancing Factor
AER,Albumin Excretion Rate
AF,Atrial Fibrillation
Af,Atrial flutter\n  = AFL
AFB,Acid-Fast Bacillus(Type that causes Tuberculosis)
AFB Stain,Acid Fast Bacilli Stain
AFL,Atrial flutter\n  = Af
AFO,Ankle Foot Orthosis
AFP,"Alpha(α) Feto-Protein [HP 1826, 1858, 1859, 2265]\n  ; Oncofetal Antigens\n  ; produced  by the Liver & Gastrointestinal Tract Epithelium during Gestation\n  ; fall to ≤ 20,000 ng/L(20 ng/mL) after Birth\n  ; Utility; Monitoring Tumor Activity(esp. Testicular Tumor)\n  - 증가하는 경우\n    1. Liver Ca(Hepatocellular Carcinoma(70 %)); Hepatoma; very High\n    2. Endometrial Sinus Tumor\n    3. Immature Teratoma; Teratoblastoma of Ovary, Testis\n    4. Embryonal Ca\n    5. GIT Cancer(Neoplasms)의 Liver Metastasis\n    6. Normal Pregnancy\n    7. active Liver Disease\n    8. CNS Germ Cell Tumors\n    9. Metastatic Cancer of Unknown Origin\n   10. Testicular Cancer(Nonseminomatous); Majority\n   11. Benign Conditions; Inflammatory Disease of Liver"
AG,1) Amino-Glycoside\n  2) Anion Gap - Anion Gap
Ag,Anti-gen
A/G,Amenorrhea/Galactorrhea
A/G ratio,Albumin/Globulin ratio; 알부민대 글로불린의 비율
AGA,Appropriate for Gestational Age; 적량아
AGC,Automatic Gain Control
AGE,1) Arterial Gas Embolism\n  2) Acute Gastro-Enteritis
AGML,Acute Gastric Mucosal Lesion
AGN,Acute Glomerulo-Nephritis
(null),(null)
AGT,Anti-Globulin Test\n  = Coombs\u0027 Test
AH,1) Atrial Hypertrophy\n  2) Anti-Hyaluronidase\n  3) Amyloid immunoglobulin Heavy chain protein
AHA,Autoimmune Hemolytic Anemia
AHC,Albright\u0027s Hereditary Osteodystrophy
AHE,Acute Hemorrhagic Encephalomyelitis
AHF,Anti-Hemophilic Factor\n  = AHG
AHG,Anti-Hemophilic Globulin\n  = AHF
AHI,Apnea-Hypopnea Index
AHO,Albright\u0027s Hereditary Osteodystrophy
AI,1) Artificial Insemination\n  2) Aortic Insufficience(= -cy)(= Incompetence)\n    = AR
AIA,Aspirin Induced Asthma
AICA,Anterior Inferior Cerebellar Artery; Hemifacial Spasm
AICAR,Amino-Imidazole Carbox-Amide Ribotide
AICD,Automatic Implantable Cardioverter Defibrillator
AID,1) Artificial Insemination Donor\n  2) Donor Artificial Insemination
AIDS,Acquired Immuno(Immune)-Deficiency Syndrome; 후천성 면역 결핍 증후군
AIIS,Anterior Inferior Iliac Spine
AIH,1) Artificial Insemination Husband\n  2) Homologous Artificial Insemination
AIHA,Auto-Immune Hemolytic Anemia
AILD,Angio-Immunoblastic Lymphadenopathy with Dysproteinemia
AION,Anterior Ischemic Optic Neuropathy
AIP,Acute Intermittent Porphyria; 급성 간혈증 Porphyria
AIS,Androgen Insensitive Syndrome\n  = Testicular Feminization Syndrome
AISA,Acquired Idiopathic Sideroblastic Anemia\n  = RARS
a.j.,"ankle jerk; 비근경련, 과반사"
AJC,American Joint Committee
AJCC,American Joint Committee on Cancer
AJKD,American Journal of Kidney Diseases
AK,Above the Knee
AL,Amyloid immunoglobulin Light chain protein
ALA,American Lung Association
ALAD,ALA Dehydratase
Alb.,Albumin
ALD,Adreno-Leuko-Dystrophy
ALDH,ALdehyde DeHydrogenase\n  = ADH
ALG,Anti-Lymphocyte Globulin
Alk.,1) Alkalosis\n  2) Alkali
ALL,"Acute Lymphocytic Leukemia\n  형태학적 분류\n    L1; Small, Homogenous(Child Type)\n    L2; Large, Heterogenous(Adult Type)\n    L3; Large, Homogenous Vacuolated(Burkitt\u0027s Type)"
ALP,ALkaline Phosphatase\n  = AP\n  상승\n    1. Paget Disease\n    2. 골연화증
αHBe,Antibody against Hepatitis Be Antigen
αHBs,Antibody against Hepatitis B surface Antigen
ALS,Amyotrophic Lateral Sclerosis
ALT,ALanine Transaminase(aminoTransferase)\n  = SGPT
ALTE,"Apparent Life-Threatening Event; 생명 위협 사건\n  = Near Miss\n  ; 호흡 정지와 빈맥, 청색증, 창백, 의식장애가 있다가 성공적으로 소생시킨 사건"
A.M.,Morning; 오전
AMA,1) Anti-Mitochondrial Antibodies\n  2) American Medical Association
AMG,α2 -Macroglobulin
amidoPRT,amido-Phospho-Ribosyl-Transferase
AML,Acute Myelogenous Leukemia\n  Morphologic Classification(FAB분류)\n    1. M0; Acute Undifferentiated Leukemia\n    2. M1; AML without Differentiation(Maturation); Myeloblast Prominence\n    3. M2; AML with Differentiation(Maturation); Myeloblast & Promyelocyte\n    4. M3; Acute Promyelocyte Leukemia; Promyelocyte Predominate; DIC 가 잘생김\n    5. M4; Acute Myelomonocytic Leukemia; Myelocyte & Monocyte\n    6. M5; Acute Monocytic Leukemia; Promonocyte or Undifferentiated Blast\n    * M4 & M5 ; Extramedullary Involve가 많다.\n    7. M6; Acute Erythroleukemia; Erythroblast(주) + Myeloblast(일부)\n    8. M7; Megakaryocytic Leukemia; Pleomorphic Undifferentiated
AMM,Agnogenic Myeloid Metaplasia
AMP,Adenosine Mono-Phosphate
amp.,ample
AMPT,Alpha(α)-Methyl-Para-Tyrosine
AMS,Acute Mountain Sickness
ANA,Anti-Nuclear Antibody
ANCA,Anti-Neutrophil Cytoplasmic Antibody
ANF,Atrial Natriuretic Factors
ANSI,American National Standards Institute
Anti-ENA,Anti-Extractable Nuclear Antigens
Anti-LKM,Antibodies to Liver-Kidney Microsome
ANTU,Alpha(α)-Naphthyl-Thio-Urea\n  1) 합성 살서제\n  2) 회색분말\n  3) LD50; 6.9 mg/kg(BW)\n  4) 인축에 해는 적다.
Ao,Aorta
AOM,Acute Otitis Media
AP,1) Alkaline Phosphatase\n    = ALP\n  2) Amyloid Plasma protein\n  3) Antero-Posterior; 전후의
A & P,Auscultation & Percussion; 청진(聽診) 및(과) 타진(打診)
APB,Atrial Premature Beat
APCs,Atrial PrematureContractions
APECED,Autoimmune Poly-Endocrinopathy Candidiasis Ectodermal Dystrophy
APL,Abductor Pollicis Longus
APM,Acute Purulent Meningitis
APN,Acute Pyelo-Nephritis
APRT,Adenine Phospho-Ribosyl-Transferase
APSAC,1) Acylating the Plasminogen Streptokinase Activated Complex\n  2) Anisoylated Plasminogen Streptokinase Activator Complex\n    = Anistreplase
APSGN,Acute Post-Streptococcal Glomerulo-Nephritis; 연쇄상 구균감염후 급성 사구체 신염
aPTT,activated Partial Thromboplastin Time
APUD,Amine Precursor Uptake & Decarboxylation
a.q.,aqua; Water; 물
AR,1) Aortic Regurgitation\n    = AI\n  Echo소견\n    1. LVESD 증가\n    2. EF 증가\n    3. 승모판 전엽의 미세한 경련\n    4. MV의 Preclosure(급성 AR의 경우)\n  2) Aortic Response\n  3) Autosomal Recessive\n    1. Albinism\n    2. Hurler Syndrome\n    3. PKU\n    4. Tay-Sachs Disease\n    5. Galactosemia\n    6. Gaucher\u0027s Disease\n    7. Alkaptonuria\n    8. Wilson\u0027s Disease\n  4) Allergic Rhinitis\n  5) Attributable Risk; 귀속위험도
ARC,AIDS Related Complex; AIDS 관련 복합
ARDS,Adult Respiratory Distress Syndrome
ARF,Acute Renal Failure
ARL,Association of Research Libraries
ARMD,Age-Related Macular Degeneration; 노인성 황반 형성
ARS,Anti-Rabies Serum
ART,Automized Reagin antibody Test
AS,1) Aortic Stenosis\n    ; LV 와 Aorta 사이의 압력차\n    ΔP = 4V2(mmHg)\n    V; Aorta의 최고 혈류 속도(m/sec)\n  2) Alveolar Sac\n  3) Ankylosing Spondylitis\n  4) Alport Syndrome\n  5) Auris Sinistra; Left Ear; 왼쪽 귀
As,비소
